                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.28976767996063e-01
 9.82522749969204e-01 -1.25121501513895e-01
 9.64769259399937e-01 -1.22182341802827e-01
 9.46894363821714e-01 -1.20058199107269e-01
 9.29059729839479e-01 -1.19011485341659e-01
 9.11427638157251e-01 -1.21121894283677e-01
 8.93963435544131e-01 -1.24173796473172e-01
 8.76693693422434e-01 -1.28073848097464e-01
 8.59623627491123e-01 -1.32671242275376e-01
 8.42791740038411e-01 -1.37961194020079e-01
 8.26157931614981e-01 -1.43725205502508e-01
 8.09718686113011e-01 -1.49888851514641e-01
 7.93459975421781e-01 -1.56368803600296e-01
 7.77440686194521e-01 -1.63259843750059e-01
 7.61622317425010e-01 -1.70438118365939e-01
 7.45939804114589e-01 -1.77722377765489e-01
 7.30408315506413e-01 -1.85131354624550e-01
 7.15014789095786e-01 -1.92622999660301e-01
 6.99745288367952e-01 -2.00145375919520e-01
 6.84535708641002e-01 -2.07561494155586e-01
 6.69377443729626e-01 -2.14839196712882e-01
 6.54344727849872e-01 -2.22136320699787e-01
 6.39322205044954e-01 -2.29183985317521e-01
 6.24321469098065e-01 -2.35997487802471e-01
 6.09367056285132e-01 -2.42630749100558e-01
 5.94420262409216e-01 -2.48969546931737e-01
 5.79507391361062e-01 -2.55053365035373e-01
 5.64639709258172e-01 -2.60916148257892e-01
 5.49739393334928e-01 -2.66305942338194e-01
 5.34938734924580e-01 -2.71584369402329e-01
 5.20068737499596e-01 -2.76192415464320e-01
 5.05364255350208e-01 -2.82929789524333e-01
 4.90582985792800e-01 -2.89021576788381e-01
 4.75903280357259e-01 -2.94277425117222e-01
 4.61230930031062e-01 -2.98492493576326e-01
 4.46671370503727e-01 -3.02358009903267e-01
 4.32162933544547e-01 -3.05377079529007e-01
 4.17775375568087e-01 -3.08141569568461e-01
 4.03466800602884e-01 -3.10026914749593e-01
 3.89305610209357e-01 -3.11713020588536e-01
 3.75270938539328e-01 -3.12772516421520e-01
 3.61392335607795e-01 -3.13302015986014e-01
 3.47676400037738e-01 -3.13486037654579e-01
 3.34151503609089e-01 -3.12999832398769e-01
 3.20796578194486e-01 -3.12403328627191e-01
 3.07666031539959e-01 -3.11079521898955e-01
 2.94751707751503e-01 -3.09441211800797e-01
 2.82063415258703e-01 -3.07321044061981e-01
 2.69589514025027e-01 -3.04933462330885e-01
 2.57376053270338e-01 -3.02113948683584e-01
 2.45415506000708e-01 -2.99004931081100e-01
 2.33693630065042e-01 -2.95537636376806e-01
 2.22290932672376e-01 -2.91665430356294e-01
 2.11081380172608e-01 -2.87701094776600e-01
 2.00223106066155e-01 -2.83211880819584e-01
 1.89584301565578e-01 -2.78693217414741e-01
 1.79252336523680e-01 -2.73775203261905e-01
 1.69214877029347e-01 -2.68696514860900e-01
 1.59492709574184e-01 -2.63318598648613e-01
 1.50044899808554e-01 -2.57769304497827e-01
 1.40883870330614e-01 -2.52028882444302e-01
 1.32056850110684e-01 -2.46119587214638e-01
 1.23543512450573e-01 -2.39981704198319e-01
 1.15292405609893e-01 -2.33752007534346e-01
 1.07429806504655e-01 -2.27321806220811e-01
 9.98541173811774e-02 -2.20762377693268e-01
 9.25848751531565e-02 -2.14088871253974e-01
 8.56428957246631e-02 -2.07318245504413e-01
 7.90158250019100e-02 -2.00445984496500e-01
 7.27082483068301e-02 -1.93500157368597e-01
 6.67330521588370e-02 -1.86481876110235e-01
 6.10888485673709e-02 -1.79392383723116e-01
 5.57586377517230e-02 -1.72253650127928e-01
 5.07233112999979e-02 -1.65106231915164e-01
 4.59449982626370e-02 -1.57967933460835e-01
 4.14268391573848e-02 -1.50849201940723e-01
 3.72434100332048e-02 -1.43719201503119e-01
 3.33542319638695e-02 -1.36594868859277e-01
 2.97341046736279e-02 -1.29501442036055e-01
 2.63712039566734e-02 -1.22451384535959e-01
 2.32786734206828e-02 -1.15453872287797e-01
 2.04481490308717e-02 -1.08505813027613e-01
 1.78264686247597e-02 -1.01631874367664e-01
 1.54064416488083e-02 -9.48439606608088e-02
 1.31927536899096e-02 -8.81366524838970e-02
 1.11821225276261e-02 -8.15137089612157e-02
 9.35050844803320e-03 -7.49810967777308e-02
 7.77704696545377e-03 -6.85317563585244e-02
 6.43256537334417e-03 -6.21630480423079e-02
 5.26823597038342e-03 -5.58961956429570e-02
 4.25090389688579e-03 -4.97362414173895e-02
 3.37626902781991e-03 -4.36868420351561e-02
 2.61949788672102e-03 -3.77476654167746e-02
 1.99235072329768e-03 -3.19220077257454e-02
 1.46293870287950e-03 -2.62503697887016e-02
 1.02718361678824e-03 -2.07748764220322e-02
 6.60358374113044e-04 -1.54080715624713e-02
 3.79201691641658e-04 -1.01599565813995e-02
 1.25231782907637e-04 -5.02702618128187e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.03041982678731e-04  5.64973821364992e-03
 3.50660054063275e-04  1.10078623091909e-02
 6.63967875605925e-04  1.64097586290363e-02
 1.12693268267617e-03  2.19010514191574e-02
 1.62788263305776e-03  2.74959865496397e-02
 2.16561006197750e-03  3.31998124572376e-02
 2.75608265830393e-03  3.90157868151951e-02
 3.40154523359804e-03  4.49467366293836e-02
 4.13937922011869e-03  5.09881152986630e-02
 5.00080866045708e-03  5.71409454771156e-02
 6.01362351735695e-03  6.33980672277835e-02
 7.22600569242693e-03  6.97552979528586e-02
 8.66500889164363e-03  7.61929416829737e-02
 1.03737979663552e-02  8.27108979953087e-02
 1.22449812269985e-02  8.93233135521711e-02
 1.42895987854572e-02  9.60267679786686e-02
 1.65239717175443e-02  1.02814056126993e-01
 1.89505671024077e-02  1.09689981191817e-01
 2.15649247807608e-02  1.16647827057676e-01
 2.44247220514794e-02  1.23660681206088e-01
 2.75571524611434e-02  1.30725101452672e-01
 3.09303950230142e-02  1.37844187789046e-01
 3.45241192137808e-02  1.45033597664277e-01
 3.83265047032371e-02  1.52269696825601e-01
 4.24667934291416e-02  1.59495260406899e-01
 4.69080720585082e-02  1.66739896330251e-01
 5.16035024407583e-02  1.73997565869702e-01
 5.65739961274443e-02  1.81266194525924e-01
 6.18057971263108e-02  1.88551585356277e-01
 6.73558087489604e-02  1.95758596300283e-01
 7.33199249875451e-02  2.02863055222269e-01
 7.95992283004266e-02  2.09913405323759e-01
 8.61629609638722e-02  2.16911029290502e-01
 9.30279589463602e-02  2.23812555899492e-01
 1.00293700489451e-01  2.30563442389641e-01
 1.07832717000901e-01  2.37204977587487e-01
 1.15722817273244e-01  2.43674523411603e-01
 1.23942218563725e-01  2.49992032742173e-01
 1.32459701396122e-01  2.56167256876366e-01
 1.41297006498596e-01  2.62153088971640e-01
 1.50425651260811e-01  2.67942838860444e-01
 1.59931981042731e-01  2.73414232105537e-01
 1.69747531812960e-01  2.78660593233110e-01
 1.79842791848316e-01  2.83686168824151e-01
 1.90221744648890e-01  2.88438336573703e-01
 2.00924185443368e-01  2.92830469088865e-01
 2.11919638911932e-01  2.96930911862340e-01
 2.23168217028220e-01  3.00720763468992e-01
 2.34697233922307e-01  3.04148061664451e-01
 2.46489722674859e-01  3.07170917250884e-01
 2.58533643242014e-01  3.09866471473628e-01
 2.70808175965778e-01  3.12206232874522e-01
 2.83315084586678e-01  3.14171657147665e-01
 2.96029837115119e-01  3.15797328977790e-01
 3.08957402921141e-01  3.16981869337576e-01
 3.22089779411931e-01  3.17783280627556e-01
 3.35400975635881e-01  3.18166033907802e-01
 3.48882356384045e-01  3.18329430949334e-01
 3.62538881053016e-01  3.17906768591692e-01
 3.76352939628282e-01  3.17330424617356e-01
 3.90314349182555e-01  3.16248627354562e-01
 4.04423909925680e-01  3.14901174928419e-01
 4.18659594422946e-01  3.13100603864171e-01
 4.33019973187001e-01  3.10906221927144e-01
 4.47505028558699e-01  3.08396878616323e-01
 4.62107237675313e-01  3.05500341505240e-01
 4.76819050271524e-01  3.02217712157562e-01
 4.91622164818723e-01  2.98405827923886e-01
 5.06534257896929e-01  2.94116102431465e-01
 5.21526904896806e-01  2.89032908880066e-01
 5.36612748024585e-01  2.83720668658627e-01
 5.51813324843728e-01  2.80256255303690e-01
 5.67082722553130e-01  2.76503624370608e-01
 5.82450248922631e-01  2.72616440818599e-01
 5.97896486153371e-01  2.68528660824737e-01
 6.13440206513286e-01  2.64344175086998e-01
 6.29034468518802e-01  2.59898254363639e-01
 6.44721716402460e-01  2.55361049429157e-01
 6.60486119359062e-01  2.50699520445426e-01
 6.76298252936198e-01  2.45829216399087e-01
 6.92161952396059e-01  2.40781620042189e-01
 7.08113101468885e-01  2.35688891088303e-01
 7.24132305865176e-01  2.30507077896972e-01
 7.40190780131381e-01  2.25162316807265e-01
 7.56291122367709e-01  2.19680820047843e-01
 7.72453415232813e-01  2.14139706926803e-01
 7.88632690770237e-01  2.08423174598947e-01
 8.04860522309766e-01  2.02639896013993e-01
 8.21148097040427e-01  1.96835291318011e-01
 8.37404431563233e-01  1.90778384305576e-01
 8.53721849890380e-01  1.84731409435774e-01
