                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -9.47952649242761e-03
 9.83021251327302e-01 -5.69223373402303e-03
 9.65890908728415e-01 -2.76057496561001e-03
 9.48640687275796e-01 -7.54626126905363e-04
 9.31342888620817e-01  3.75613259980404e-04
 9.14041761723476e-01  6.89310048579997e-04
 8.96770340468632e-01  4.04250974437861e-04
 8.79567881838979e-01 -5.15332776201120e-04
 8.62462848127747e-01 -2.10750698642891e-03
 8.45477342929197e-01 -4.27116676289251e-03
 8.28633550833743e-01 -6.87628890434493e-03
 8.11942283663723e-01 -1.01248999807079e-02
 7.95421441823162e-01 -1.37949244143800e-02
 7.79081756259722e-01 -1.79088576956600e-02
 7.62940831820021e-01 -2.24129403471807e-02
 7.46991955726659e-01 -2.72734082231629e-02
 7.31229744747939e-01 -3.23828542867105e-02
 7.15652769353837e-01 -3.77378106203128e-02
 7.00258080076384e-01 -4.32700156205113e-02
 6.85041334191393e-01 -4.89683674851271e-02
 6.69983386055711e-01 -5.47446729909789e-02
 6.55087231184221e-01 -6.05966692140348e-02
 6.40331260161445e-01 -6.64541861382967e-02
 6.25711359705089e-01 -7.22908989507243e-02
 6.11223425197597e-01 -7.80865361439565e-02
 5.96848080535404e-01 -8.37811230353590e-02
 5.82589916358454e-01 -8.93739578266324e-02
 5.68436393328977e-01 -9.48188147428493e-02
 5.54382231312065e-01 -1.00094510136797e-01
 5.40432147466749e-01 -1.05199582463353e-01
 5.26576535739101e-01 -1.10085066922331e-01
 5.12821681533600e-01 -1.14773135491030e-01
 4.99167539302176e-01 -1.19231143672683e-01
 4.85614286195509e-01 -1.23442574715109e-01
 4.72166339201893e-01 -1.27424056171698e-01
 4.58828104403968e-01 -1.31144489881081e-01
 4.45600053399101e-01 -1.34845455525576e-01
 4.32489680251612e-01 -1.38382035492008e-01
 4.19505070187573e-01 -1.41591548807465e-01
 4.06648968256927e-01 -1.44517107772875e-01
 3.93927559376893e-01 -1.47151498571195e-01
 3.81351034194381e-01 -1.49491278627621e-01
 3.68918939125294e-01 -1.51587995903645e-01
 3.56640656646430e-01 -1.53430480125538e-01
 3.44523776719314e-01 -1.55004432986451e-01
 3.32567963981856e-01 -1.56419800070041e-01
 3.20782572238759e-01 -1.57646646850629e-01
 3.09174484036645e-01 -1.58443743753457e-01
 2.97742266613907e-01 -1.58737924327353e-01
 2.86495430634231e-01 -1.58793867998297e-01
 2.75438640723058e-01 -1.58569967183037e-01
 2.64570493645485e-01 -1.58117778400333e-01
 2.53899843574985e-01 -1.57494534562278e-01
 2.43430277840591e-01 -1.56667406779256e-01
 2.33159351271117e-01 -1.55572898042528e-01
 2.23096250067672e-01 -1.54286604449069e-01
 2.13243158230886e-01 -1.52837191756174e-01
 2.03597175630457e-01 -1.51169405082431e-01
 1.94165942580601e-01 -1.49333302765928e-01
 1.84951754683546e-01 -1.47343533861924e-01
 1.75950767221933e-01 -1.45163018982953e-01
 1.67170976954243e-01 -1.42825989149007e-01
 1.58616158668620e-01 -1.40345714879556e-01
 1.50279303441707e-01 -1.37701524995518e-01
 1.42166642570931e-01 -1.34919332622268e-01
 1.34281429210057e-01 -1.32019130122730e-01
 1.26616598172414e-01 -1.28979279958409e-01
 1.19176362479483e-01 -1.25821232972994e-01
 1.11967503134820e-01 -1.22554087970542e-01
 1.04980681212300e-01 -1.19170898947368e-01
 9.82196915090699e-02 -1.15680362324926e-01
 9.16904373260790e-02 -1.12097913727888e-01
 8.53833899227408e-02 -1.08422725400718e-01
 7.92991830460641e-02 -1.04658865896318e-01
 7.34449896263944e-02 -1.00820841081461e-01
 6.78122613568548e-02 -9.69199405751373e-02
 6.23939890293455e-02 -9.29566082259990e-02
 5.72015278308017e-02 -8.89374453053963e-02
 5.22372006974087e-02 -8.49996717260981e-02
 4.74855564129028e-02 -8.10986754940069e-02
 4.29537687024244e-02 -7.71557032075767e-02
 3.86502234185335e-02 -7.31811298694070e-02
 3.45578989606118e-02 -6.91681617427333e-02
 3.06858391530475e-02 -6.51232889631232e-02
 2.70457397604818e-02 -6.10597347968573e-02
 2.36121246985330e-02 -5.69739833067003e-02
 2.03874723933964e-02 -5.28693391161765e-02
 1.74059725821540e-02 -4.87537423158904e-02
 1.46364635378500e-02 -4.46249664083021e-02
 1.20979253960643e-02 -4.04824302456090e-02
 9.82142511349029e-03 -3.63360021483809e-02
 7.79498798782098e-03 -3.21885072391914e-02
 5.97886214748044e-03 -2.80400649501311e-02
 4.45413517179945e-03 -2.39131700549499e-02
 3.16574691104329e-03 -1.98083824735855e-02
 2.03981428512635e-03 -1.57305398476066e-02
 1.17449618853413e-03 -1.17069239937880e-02
 6.11939695134853e-04 -7.74135444357197e-03
 1.82762630540484e-04 -3.82644479966934e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.14826664762468e-04  3.91726744173935e-03
 4.29320151854658e-04  7.99583233276971e-03
 8.74646214738744e-04  1.20844873892052e-02
 1.46584044414356e-03  1.60193793120620e-02
 2.35680671614206e-03  2.00113704357749e-02
 3.49787316918476e-03  2.40684603162566e-02
 4.78511301442483e-03  2.82065753550918e-02
 6.30362296420615e-03  3.24388901319832e-02
 8.09015549394608e-03  3.66937415837817e-02
 1.01028630556605e-02  4.09518825755555e-02
 1.23522637310704e-02  4.52119712577219e-02
 1.48833490582285e-02  4.94727213303291e-02
 1.76319999577392e-02  5.37169016531437e-02
 2.06071143083616e-02  5.79697085184026e-02
 2.38279211985537e-02  6.22849434354637e-02
 2.72712615570229e-02  6.65996049011038e-02
 3.09251430785127e-02  7.09064200335327e-02
 3.48175053736222e-02  7.52014057253944e-02
 3.89377122375989e-02  7.94738683991703e-02
 4.32755603758587e-02  8.37103053406640e-02
 4.78542622884964e-02  8.79100905264720e-02
 5.26673891884471e-02  9.20647828683587e-02
 5.76971921662005e-02  9.61663635817128e-02
 6.29636225877537e-02  1.00206285029316e-01
 6.84638445031703e-02  1.04180434878147e-01
 7.41849481784319e-02  1.08077003654409e-01
 8.01399292971611e-02  1.11888297521438e-01
 8.63292388366654e-02  1.15610437270206e-01
 9.27436879353735e-02  1.19224586310198e-01
 9.93872842547816e-02  1.22726158268647e-01
 1.06267014457255e-01  1.26115372018062e-01
 1.13371008684292e-01  1.29375975093413e-01
 1.20697498954264e-01  1.32499084677196e-01
 1.28255345792510e-01  1.35493276454536e-01
 1.36036830316177e-01  1.38331302257966e-01
 1.44035083430684e-01  1.41004220260536e-01
 1.52257286057543e-01  1.43536589924056e-01
 1.60696589956710e-01  1.45900202229424e-01
 1.69345300336083e-01  1.48080385073886e-01
 1.78210926095410e-01  1.50102674246024e-01
 1.87288095902359e-01  1.51931149265324e-01
 1.96567209087355e-01  1.53553363101916e-01
 2.06054126659408e-01  1.55008265035786e-01
 2.15742865881799e-01  1.56269549442289e-01
 2.25625202058765e-01  1.57308394882624e-01
 2.35704232158765e-01  1.58199025759539e-01
 2.45976139409749e-01  1.58885652396211e-01
 2.56433529340262e-01  1.59317203697548e-01
 2.67079338980867e-01  1.59589490359062e-01
 2.77909684174438e-01  1.59245747293516e-01
 2.88918898808072e-01  1.58813247206873e-01
 3.00108471286573e-01  1.58226274815782e-01
 3.11475402081968e-01  1.57505114606152e-01
 3.23015380006507e-01  1.56696523124852e-01
 3.34729329765425e-01  1.55719977471483e-01
 3.46614143673814e-01  1.54592368396427e-01
 3.58666264377813e-01  1.53342752603618e-01
 3.70885832180910e-01  1.51927013012854e-01
 3.83269936143575e-01  1.50361375927698e-01
 3.95815922823842e-01  1.48663329973510e-01
 4.08522805113665e-01  1.46808141337283e-01
 4.21388120470419e-01  1.44813816137433e-01
 4.34409982577403e-01  1.42685071737658e-01
 4.47585837540807e-01  1.40411513779314e-01
 4.60913890429325e-01  1.38015975229837e-01
 4.74390936231245e-01  1.35482576787267e-01
 4.88015099868707e-01  1.32818486150904e-01
 5.01785560986451e-01  1.30186102922299e-01
 5.15699154907119e-01  1.27473418916430e-01
 5.29754860613616e-01  1.24657953661762e-01
 5.43949898958260e-01  1.21744425408202e-01
 5.58280648752428e-01  1.18726483203214e-01
 5.72745305140045e-01  1.15618799150669e-01
 5.87339632788620e-01  1.12414722893129e-01
 6.02061094908176e-01  1.09122072320571e-01
 6.16906092170368e-01  1.05743446696415e-01
 6.31872023940637e-01  1.02285151170606e-01
 6.46953501964375e-01  9.87439489034687e-02
 6.62147383630193e-01  9.51251271815682e-02
 6.77450410013459e-01  9.14355291354778e-02
 6.92857770366784e-01  8.76750830480375e-02
 7.08366272263822e-01  8.38515494331633e-02
 7.23971353491448e-01  7.99679676748078e-02
 7.39668008307305e-01  7.60245452569243e-02
 7.55454594317884e-01  7.20375388394712e-02
 7.71325697878831e-01  6.80072794536733e-02
 7.87278632154213e-01  6.39458528559219e-02
 8.03308290054450e-01  5.98564786691830e-02
 8.19409962352594e-01  5.57439726158920e-02
 8.35578420013213e-01  5.16115594956587e-02
 8.51811174954012e-01  4.74735919157258e-02
 8.68104490411327e-01  4.33409065311146e-02
