------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
102         NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  8.932997444389412e-15  0.000000000000000e+00 -9.328390270357204e-02  1.200000000000000e+01  5.800000000000002e+00        1
 1.364340799103366e+00 -2.221297610608578e-03  0.000000000000000e+00 -8.461041191325676e-02  1.199986970967177e+01  5.800000000000000e+00        2
 2.728681598206731e+00 -4.029525246941822e-03  0.000000000000000e+00 -1.556421919917576e+00  1.199905171374621e+01  5.800000000000000e+00        3
 4.093022397310096e+00 -7.633596338932171e-02 -3.338819114616340e-01 -4.515828561374541e+00  1.199683230254936e+01  5.875061086026033e+00        4
 5.457363196413463e+00 -2.188709109702188e-01 -9.998737436867005e-01 -4.449433290046263e+00  1.199236651451472e+01  6.029902324125620e+00        5
 6.821703995516830e+00 -2.880249815930770e-01 -1.323539397750670e+00 -1.343984132436711e+00  1.198469839134181e+01  6.195898170545845e+00        6
 8.186044794620198e+00 -2.828715843472017e-01 -1.298964053669374e+00  2.131707953529023e-01  1.197264175199729e+01  6.354156912382209e+00        7
 9.550385593723561e+00 -2.778728571340145e-01 -1.276860444041456e+00  2.208629521484549e-01  1.195487594584421e+01  6.500802242558036e+00        8
 1.091472639282693e+01 -2.723531275631363e-01 -1.254620626905714e+00  2.486265952687760e-01  1.192978146587424e+01  6.634303850659142e+00        9
 1.227906719193029e+01 -2.660321824458043e-01 -1.230504172794825e+00  2.867110760917121e-01  1.189538701850096e+01  6.753686477257064e+00       10
 1.364340799103366e+01 -2.586987191767465e-01 -1.203576688609703e+00  3.319491918251041e-01  1.184935973915140e+01  6.858474886791953e+00       11
 1.500774879013703e+01 -2.502233638601750e-01 -1.173586084910607e+00  3.774607728218767e-01  1.178885139192902e+01  6.948678893877680e+00       12
